Invoice ID,Customer ID,Product line,Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income,Rating
750-67-8428,1,Potatoes,74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1
226-31-3081,2,Potatoes,15.28,5,3.82,80.22,76.4,4.761904762,3.82,9.6
631-41-3108,3,Potatoes,46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4
123-19-1176,4,Potatoes,58.22,8,23.288,489.048,465.76,4.761904762,23.288,8.4
373-73-7910,5,Potatoes,86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3
699-14-3026,6,Potatoes,85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1
355-53-5943,7,Potatoes,68.84,6,20.652,433.692,413.04,4.761904762,20.652,5.8
315-22-5665,8,Potatoes,73.56,10,36.78,772.38,735.6,4.761904762,36.78,8
665-32-9167,9,Potatoes,36.26,2,3.626,76.146,72.52,4.761904762,3.626,7.2
692-92-5582,10,Potatoes,54.84,3,8.226,172.746,164.52,4.761904762,8.226,5.9
351-62-0822,11,Potatoes,14.48,4,2.896,60.816,57.92,4.761904762,2.896,4.5
529-56-3974,12,Potatoes,25.51,4,5.102,107.142,102.04,4.761904762,5.102,6.8
365-64-0515,13,Potatoes,46.95,5,11.7375,246.4875,234.75,4.761904762,11.7375,7.1
252-56-2699,14,Potatoes,43.19,10,21.595,453.495,431.9,4.761904762,21.595,8.2
829-34-3910,15,Potatoes,71.38,10,35.69,749.49,713.8,4.761904762,35.69,5.7
299-46-1805,16,Potatoes,93.72,6,28.116,590.436,562.32,4.761904762,28.116,4.5
656-95-9349,17,Potatoes,68.93,7,24.1255,506.6355,482.51,4.761904762,24.1255,4.6
765-26-6951,18,Potatoes,72.61,6,21.783,457.443,435.66,4.761904762,21.783,6.9
329-62-1586,19,Potatoes,54.67,3,8.2005,172.2105,164.01,4.761904762,8.2005,8.6
319-50-3348,20,Potatoes,40.3,2,4.03,84.63,80.6,4.761904762,4.03,4.4
